st_abbrev,psychol_21,psychol_mal_21,psychol_fem_21,psychol_lt30_21,psychol_30_39_21,psychol_40_49_21,psychol_50_59_21,psychol_ge60_21,psychol_resrch_dev_svc_21,psychol_sch_21,psychol_ofcs_oth_hlth_practnr_21,psychol_outpt_care_ctr_21,psychol_hosp_21,psychol_indv_famly_svc_21,clinpsych_emplymt_22,clinpsych_medn_wage_22,sch_psychol_emplymt_22,sch_psychol_medn_wage_22,mentl_hlth_socwk_emplymt_22,mentl_hlth_socwk_medn_wage_22,popn_pums_21,popn_mal_21,popn_fem_21,popn_lt30_21,popn_30_39_21,popn_40_49_21,popn_50_59_21,popn_ge60_21
AL,1164,NA,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,28.66,220,30.14,670,17.52,4997675,2430328,2567347,1913835,625973,620008,657209,1180650
AK,633,NA,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,47.79,60,39.26,340,24.63,735951,385211,350740,310329,110904,87645,90569,136504
AZ,4619,1402,3217,NA,985,1073,821,1373,NA,1838,1212,423,367,NA,650,39.52,1080,38.28,2850,19.98,7079203,3533857,3545346,2782702,919726,857254,844974,1674547
AR,762,NA,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,30.85,250,30.1,960,20.2,3006310,1483966,1522344,1181776,384949,364995,382231,692359
CA,39927,10954,28973,2685,9758,8233,6939,12312,NA,8584,16472,4425,2588,1736,8780,57.94,10410,50.21,15780,38.24,39455353,19712190,19743163,15643460,5723346,5104572,5008854,7975121
CO,6013,1605,4408,NA,1408,1549,1083,1682,NA,1303,2153,888,519,NA,1300,38.59,1250,49.22,1690,24.32,5723176,2894927,2828249,2227166,867929,750506,711089,1166486
CT,4719,1081,3638,330,1305,1104,887,1093,NA,1583,1691,432,NA,NA,530,49.04,990,44.37,1400,35,3605330,1768506,1836824,1310450,446673,448579,525949,873679
DE,729,NA,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,370,37.26,520,23.44,981892,477776,504116,355227,122716,114411,132143,257395
DC,1765,398,1367,NA,545,396,330,328,NA,NA,685,NA,NA,NA,390,37.61,230,52.73,480,34.93,683154,325441,357713,272488,139482,83922,70145,117117
FL,10108,2645,7463,568,2518,2138,1916,2968,NA,2228,3289,1337,1008,632,3450,36.54,2610,37.49,5180,22.16,21339762,10489654,10850108,7357729,2698968,2640123,2875898,5767044
GA,5779,1831,3948,NA,1941,1317,778,1388,NA,745,2473,453,879,NA,810,31.32,570,38.51,1310,23.06,10625615,5191833,5433782,4292470,1441056,1398812,1386592,2106685
HI,1056,NA,606,NA,NA,NA,NA,210,NA,NA,249,NA,NA,NA,450,49.03,NA,NA,540,31.69,1453498,732091,721407,534153,199414,177883,180294,361754
ID,916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,31.12,270,25.98,790,22.05,1811617,913558,898059,744083,237986,217874,213273,398401
IL,9690,2353,7337,950,2504,1931,2017,2288,NA,2495,3381,785,852,494,5170,38.05,3820,35.54,1590,22.41,12821813,6333553,6488260,4937766,1736994,1623319,1690954,2832780
IN,2262,587,1675,197,477,450,544,594,NA,547,495,NA,282,NA,1910,33.65,720,30.65,1570,22.15,6751340,3344474,3406866,2699266,859439,829191,869777,1493667
IA,1189,198,991,NA,NA,324,NA,NA,NA,420,NA,NA,NA,NA,520,40.62,410,32.04,1000,22.05,3179090,1589146,1589944,1259253,398244,369964,399795,751834
KS,1744,653,1091,NA,516,NA,362,336,NA,607,435,NA,NA,NA,360,32.08,650,31.82,870,23.08,2932099,1468547,1463552,1200518,380262,341676,357908,651735
KY,2137,487,1650,NA,682,731,423,245,NA,596,467,270,NA,NA,490,44.71,510,31.06,1110,19.02,4494141,2223324,2270817,1739504,568748,557352,595324,1033213
LA,1658,541,1117,NA,485,NA,457,NA,NA,368,NA,NA,NA,NA,340,NA,340,29.14,890,21.85,4657305,2284568,2372737,1845342,645109,553564,590694,1022596
ME,1202,NA,944,NA,NA,NA,NA,454,NA,NA,591,NA,NA,NA,100,41.32,180,42.57,1370,32.23,1357046,668033,689013,441607,165142,161342,198132,390823
MD,5602,1500,4102,NA,1250,982,708,2068,NA,1004,1648,598,412,NA,1070,50.69,1170,45.65,2570,23.71,6148545,2995247,3153298,2313138,845554,779805,854772,1355276
MA,9450,2336,7114,755,2489,1886,1473,2847,NA,1854,3783,1054,1116,300,3200,47.67,1710,47.64,5090,24.82,6991854,3413710,3578144,2585781,944521,861861,978858,1620833
MI,5478,1756,3722,626,1009,755,1236,1852,NA,759,2109,845,418,NA,1940,35.95,1170,37.81,3760,24.29,10062512,4984460,5078052,3811865,1238886,1198130,1366273,2447358
MN,5829,1600,4229,NA,1566,1168,1076,1557,NA,760,1436,1460,727,NA,1130,48.32,1020,39.05,2690,31.11,5670472,2837130,2833342,2191390,774005,686699,748331,1270047
MS,624,NA,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.23,140,28.95,1200,19.87,2967023,1443907,1523116,1188907,375384,361493,374693,666546
MO,2704,724,1980,NA,552,830,525,718,NA,491,536,694,NA,NA,2050,33.91,NA,26.54,1440,19.97,6141534,3027390,3114144,2365291,798908,729381,800004,1447950
MT,459,NA,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,39.04,200,33.66,560,17.81,1077978,545554,532424,401004,137579,122783,133759,282853
NE,1091,340,751,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,310,40.38,510,36.51,1030,18.37,1951480,977903,973577,804711,257879,227572,232409,428909
NV,1262,NA,1108,NA,NA,296,NA,NA,NA,269,NA,NA,NA,NA,260,42.2,230,38.63,820,27.96,3059238,1541684,1517554,1163216,437206,397599,394278,666939
NH,935,NA,659,NA,NA,NA,NA,NA,NA,NA,492,NA,NA,NA,190,34.99,270,37.23,360,30.35,1372174,684034,688140,470981,167894,166861,211580,354858
NJ,9104,2138,6966,1169,2242,1975,1684,2034,NA,2777,3247,909,NA,470,1400,70.1,2550,41.29,1530,37.47,9234024,4538600,4695424,3405413,1201347,1205471,1316180,2105613
NM,1138,434,704,NA,NA,NA,NA,694,NA,NA,484,NA,NA,NA,NA,40.46,520,41.36,510,25.16,2109366,1048674,1060692,823329,275980,243928,256204,509925
NY,26379,6763,19616,1828,6598,5670,4486,7797,NA,6708,11086,2496,1917,1035,4400,50.09,6410,44.55,12170,36.13,20114745,9824158,10290587,7496494,2764190,2475858,2726739,4651464
NC,6093,1684,4409,608,1223,1849,1277,1136,NA,825,2144,741,409,NA,1820,38.59,1160,30.45,1410,25,10367011,5067710,5299301,3981280,1329485,1335856,1369439,2350951
ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,49.24,110,31.18,150,26.3,773344,397136,376208,328572,106659,83490,88999,165624
OH,6291,1587,4704,752,1613,1339,677,1910,NA,1837,1492,558,984,367,1850,46.35,2090,40.22,5820,19.68,11769923,5800127,5969796,4477437,1489878,1421101,1573593,2807914
OK,1954,357,1597,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,350,32,490,29.71,770,17.43,3948136,1966663,1981473,1610301,528901,471106,478129,859699
OR,3776,1090,2686,NA,757,1189,661,803,NA,698,1649,423,351,NA,590,61.03,720,45.64,1600,23.92,4207177,2097729,2109448,1527448,594439,545798,516514,1022978
PA,10209,2935,7274,1096,2676,2334,1639,2464,NA,2486,2804,1641,1017,442,3360,33.08,2420,39.6,5690,21.18,12970650,6393324,6577326,4705749,1657963,1546218,1782056,3278664
RI,1300,252,1048,NA,NA,NA,NA,244,NA,NA,422,NA,NA,NA,500,50.46,200,41.26,440,30.03,1091949,534591,557358,401724,143870,128466,150343,267546
SC,1652,355,1297,NA,523,179,353,471,NA,563,365,NA,188,NA,530,40.61,680,30.05,620,22.4,5078914,2474348,2604566,1906143,643352,619715,665824,1243880
SD,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,38.76,90,32.23,240,21.13,881785,446854,434931,357590,115331,94666,106972,207226
TN,3435,746,2689,NA,839,848,452,1051,NA,815,1215,NA,507,NA,700,49.02,780,30.57,1320,19.25,6859497,3362285,3497212,2633176,899218,858699,903452,1564952
TX,12355,3404,8951,1472,3298,2743,2085,2757,NA,1966,4192,1262,1397,851,3280,38.64,5520,35.15,3730,18.98,28862581,14396570,14466011,12328883,4135512,3781360,3433686,5183140
UT,2108,656,1452,NA,502,NA,597,359,NA,394,592,NA,NA,NA,1110,39.56,530,33.01,1010,19.85,3231370,1633478,1597892,1554720,460726,395324,311048,509552
